Country;Year;Series;Value
Afghanistan;1985;GDP in current prices (millions of US dollars);3,322
Afghanistan;1995;GDP in current prices (millions of US dollars);3,236
Afghanistan;2005;GDP in current prices (millions of US dollars);6,622
Afghanistan;2010;GDP in current prices (millions of US dollars);16,078
Afghanistan;2015;GDP in current prices (millions of US dollars);20,608
Afghanistan;2016;GDP in current prices (millions of US dollars);20,235
Afghanistan;2017;GDP in current prices (millions of US dollars);21,993
Afghanistan;1985;GDP per capita (US dollars);282
Afghanistan;1995;GDP per capita (US dollars);189
Afghanistan;2005;GDP per capita (US dollars);264
Afghanistan;2010;GDP per capita (US dollars);558
Afghanistan;2015;GDP per capita (US dollars);611
Afghanistan;2016;GDP per capita (US dollars);584
Afghanistan;2017;GDP per capita (US dollars);619
Afghanistan;1985;GDP in constant 2010 prices (millions of US dollars);11,604
Afghanistan;1995;GDP in constant 2010 prices (millions of US dollars);7,011
Afghanistan;2005;GDP in constant 2010 prices (millions of US dollars);10,244
Afghanistan;2010;GDP in constant 2010 prices (millions of US dollars);16,078
Afghanistan;2015;GDP in constant 2010 prices (millions of US dollars);20,890
Afghanistan;2016;GDP in constant 2010 prices (millions of US dollars);21,634
Afghanistan;2017;GDP in constant 2010 prices (millions of US dollars);22,175
Afghanistan;1985;GDP real rates of growth (percent);0.3
Afghanistan;1995;GDP real rates of growth (percent);49.9
Afghanistan;2005;GDP real rates of growth (percent);9.9
Afghanistan;2010;GDP real rates of growth (percent);3.2
Afghanistan;2015;GDP real rates of growth (percent);-1.8
Afghanistan;2016;GDP real rates of growth (percent);3.6
Afghanistan;2017;GDP real rates of growth (percent);2.5
Albania;1985;GDP in current prices (millions of US dollars);2,324
Albania;1995;GDP in current prices (millions of US dollars);2,393
Albania;2005;GDP in current prices (millions of US dollars);8,052
Albania;2010;GDP in current prices (millions of US dollars);11,927
Albania;2015;GDP in current prices (millions of US dollars);11,387
Albania;2016;GDP in current prices (millions of US dollars);11,884
Albania;2017;GDP in current prices (millions of US dollars);13,039
Albania;1985;GDP per capita (US dollars);783
Albania;1995;GDP per capita (US dollars);770
Albania;2005;GDP per capita (US dollars);2,615
Albania;2010;GDP per capita (US dollars);4,056
Albania;2015;GDP per capita (US dollars);3,895
Albania;2016;GDP per capita (US dollars);4,061
Albania;2017;GDP per capita (US dollars);4,450
Albania;1985;GDP in constant 2010 prices (millions of US dollars);5,911
Albania;1995;GDP in constant 2010 prices (millions of US dollars);5,424
Albania;2005;GDP in constant 2010 prices (millions of US dollars);9,222
Albania;2010;GDP in constant 2010 prices (millions of US dollars);11,927
Albania;2015;GDP in constant 2010 prices (millions of US dollars);13,033
Albania;2016;GDP in constant 2010 prices (millions of US dollars);13,470
