Country;GDP PPP (billions);GDP PPP per capita;GDP per capita USD;GDP billions USD
Afghanistan;76.486;2094.928;513.108;18.734
Albania;40.151;13991.142;5372.742;15.418
Algeria;681.396;15696.386;3980.118;172.781
Angola;203.433;6752.384;3037.976;91.527
Antigua and Barbuda;2.735;29345.729;18109.095;1.688
Argentina;903.542;20055.34;9887.788;445.469
Armenia;32.909;11083.073;4527.592;13.444
Aruba;4.487;40148.459;25976.24;2.903
Australia;1364.835;53378.525;53825.164;1376.255
Austria;479.364;53558.439;50022.612;447.718
Azerbaijan;187.26;18615.794;4689.378;47.171
Bahamas. The;12.691;33333.172;33261.315;12.664
Bahrain;76.951;50931.48;25273.148;38.184
Bangladesh;837.588;5027.972;1905.716;317.465
Barbados;5.434;18921.362;18069.384;5.189
Belarus;195.599;20643.662;6603.92;62.572
Belgium;567.488;49528.891;45175.585;517.609
Belize;3.52;8663.871;4925.18;2.001
Benin;40.717;3446.424;1216.632;14.374
Bhutan;8.199;9876.208;3423.052;2.842
Bolivia;94.392;8172.197;3670.959;42.401
Bosnia and Herzegovina;49.794;14219.713;5741.758;20.106
Botswana;44.133;18558.387;7859.18;18.69
Brazil;3456.357;16461.794;8796.909;1847.02
Brunei Darussalam;35.92;80383.639;27871.454;12.455
Bulgaria;171.185;24595.091;9518.437;66.25
Burkina Faso;42.222;2077.248;717.962;14.593
Burundi;8.384;727.168;309.87;3.573
Cabo Verde;4.325;7729.344;3598.626;2.013
Cambodia;76.934;4664.441;1620.642;26.73
Cameroon;100.884;3955.243;1514.599;38.632
Canada;1899.935;50725.441;46212.842;1730.914
Central African Republic;4.262;822.552;447.992;2.321
Chad;31.76;2480.777;861.246;11.026
Chile;502.846;26317.067;15399.235;294.237
China. People's Republic of;27308.857;19503.909;10098.865;14140.163
Colombia;783.002;15541.193;6508.127;327.895
Comoros;2.446;2799.036;1349.794;1.179
Congo. Dem. Rep. of the;83.112;849.125;500.554;48.994
Congo. Republic of ;32.768;7174.011;2534.492;11.576
Costa Rica;91.611;18037.749;12014.795;61.021
Croatia;112.589;27728.66;14949.759;60.702
Cyprus;36.268;41406.869;27719.69;24.28
Czech Republic;413.119;38833.774;23213.954;246.953
Câ€śte d'Ivoire;117.11;4457.151;1691.31;44.439
Denmark;312.842;53881.8479999999;59795.269;347.176
Djibouti;6.004;5567.546;2936.213;3.166
Dominica;0.849;12008.092;8380.983;0.593
Dominican Republic;201.266;19410.756;8629.254;89.475
Ecuador;202.773;11742.686;6249.392;107.914
Egypt;1391.256;14023.209;3046.594;302.256
El Salvador;55.731;8312.907;4008.024;26.871
Equatorial Guinea;28.97;21300.128;8927.437;12.142
Eritrea;6.526;1059.624;342.6;2.11
Estonia;47.306;35852.914;23523.596;31.038
Eswatini;12.444;11160.81;4176.746;4.657
Ethiopia;240.168;2511.048;953.179;91.166
Fiji;10.868;12147.087;6379.707;5.708
Finland;264.72;47974.652;48868.742;269.654
France;3061.143;47222.641;41760.606;2707.074
Gabon;39.648;19057.277;8112.32;16.877
Gambia. The;6.448;2745.378;755.046;1.773
Georgia;45.398;12227.456;4289.322;15.925
Germany;4444.368;53566.926;46563.989;3863.344
Ghana;209.844;6955.788;2223.423;67.077
Greece;324.128;30251.883;19974.374;214.012
Grenada;1.819;16717.264;11381.378;1.238
Guatemala;153.322;8704.884;4616.853;81.318
Guinea;33.265;2441.15;981.016;13.368
Guinea-Bissau;3.585;2018.514;786.292;1.397
Guyana;7.135;9093.775;5252.047;4.121
Haiti;21.124;1878.003;784.08;8.819
Honduras;51.757;5394.833;2548.458;24.449
Hong Kong SAR;490.88;64927.589;49334.347;372.989
Hungary;332.225;34046.236;17463.284;170.407
Iceland;20.003;56066.326;67037.34;23.918
India;11325.669;8378.377;2171.643;2935.57
Indonesia;3737.484;13998.181;4163.755;1111.713
Iran;1470.661;17661.505;5506.229;458.5
Iraq;705.059;18025.091;5738.449;224.462
Ireland;412.797;83399.259;77771.205;384.94
Israel;354.197;39121.018;42823.307;387.717
Italy;2442.768;40470.301;32946.524;1988.636
Jamaica;27.867;9691.877;5460.984;15.702
Japan;5747.496;45546.185;40846.777;5154.475
Jordan;97.161;9648.761;4386.605;44.172
Kazakhstan;537.664;28849.232;9139.109;170.326
Kenya;191.263;3874.56;1997.549;98.607
Kiribati;0.25;2137.557;1574.695;0.184
Korea. Republic of;2319.585;44740.435;31430.598;1629.532
Kosovo;22.179;12321.529;4442.363;7.996
Kuwait;312.1;66386.725;29266.981;137.591
Kyrgyz Republic;25.915;4056.385;1292.977;8.261
Lao P.D.R.;58.091;8109.594;2670.205;19.127
Latvia;60.562;31402.324;18171.651;35.045
Lebanon;91.286;15048.996;9654.805;58.565
Lesotho;7.403;3614.564;1338.522;2.741
Liberia;6.471;1413.555;703.826;3.222
Libya;61.559;9358.427;5019.581;33.018
Lithuania;102.179;36700.743;19266.788;53.641
Luxembourg;66.848;108950.709;113196.487;69.453
Macao SAR;77.7;114362.973;81151.929;55.136
Madagascar;45.974;1699.292;463.869;12.55
Malawi;25.167;1240.425;370.747;7.522
Malaysia;1078.537;32880.834;11136.812;365.303
Maldives;8.667;23311.791;15562.505;5.786
Mali;47.181;2470.793;924.178;17.647
Malta;22.982;47405.016;30650.168;14.859
Marshall Islands;0.217;3868.208;3924.826;0.22
Mauritania;19.811;4881.38;1392.463;5.651
Mauritius;31.663;24996.036;11360.673;14.391
Mexico;2627.851;20867.645;10118.167;1274.175
Micronesia. Fed. States of;0.365;3562.395;3717.999;0.381
Moldova;27.282;7703.248;3300.09;11.688
Mongolia;47.217;14308.994;4132.66;13.637
Montenegro;12.516;20083.963;8703.933;5.424
Morocco;328.651;9235.147;3345.029;119.04
Mozambique;40.6;1303.078;484.405;15.093
Myanmar;355.609;6707.167;1244.725;65.994
Namibia;27.707;11265.844;5842.061;14.368
Nauru;0.117;8998.537;8270.263;0.108
Nepal;94.419;3318.196;1047.739;29.813
Netherlands;1005.274;58340.705;52367.849;902.355
New Zealand;206.225;40942.565;40634.137;204.671
Nicaragua;34.531;5289.881;1919.166;12.528
Niger;25.78;1105.948;405.095;9.443
Nigeria;1216.797;6054.802;2222.006;446.543
North Macedonia;34.267;16486.318;6096.49;12.672
Norway;410.713;76684.49;77975.429;417.627
Oman;203.959;47365.936;17791.026;76.609
Pakistan;1202.091;5871.609;1388.244;284.214
Palau;0.282;16234.614;16736.103;0.291
Panama;113.156;26821.78;16245.452;68.536
Papua New Guinea;34.257;3982.734;2742.269;23.587
Paraguay;97.163;13584.057;5692.175;40.714
Peru;478.303;14719.052;7046.788;228.989
Philippines;1025.758;9470.85;3294.473;356.814
Poland;1286.92;33890.555;14901.547;565.854
Portugal;345.572;33665.448;23030.786;236.408
Puerto Rico;126.934;40067.476;31538.174;99.913
Qatar;365.835;132886.395;69687.549;191.849
Romania;546.586;27997.853;12482.971;243.698
Russian Federation;4349.423;29642.432;11162.652;1637.892
Rwanda;30.346;2451.977;824.927;10.209
Saint Kitts and Nevis;1.729;30577.752;18245.901;1.032
Saint Lucia;2.606;14491.572;11075.921;1.992
Saint Vincent and the Grenadines;1.375;12454.343;7750.791;0.856
Samoa;1.237;6151.874;4500.745;0.905
San Marino;2.072;61575.455;47279.934;1.591
Saudi Arabia;1898.511;55704.327;22865.178;779.289
Senegal;64.6;3852.951;1427.873;23.94
Serbia;129.298;18564.493;7397.685;51.523
Seychelles;3.056;31693.039;17052.232;1.644
Sierra Leone;13.079;1690.36;546.645;4.229
Singapore;585.055;103181.171;63987.068;362.818
Slovak Republic;199.722;36640.197;19547.657;106.552
Slovenia;79.591;38462.356;26170.25;54.154
Solomon Islands;1.476;2302.517;2246.723;1.44
Somalia;12.66;13753.786;6100.354;4.958
South Africa;809.034;1602.299;275.184;358.839
South Sudan. Republic of;21.435;41592.343;29961.105;3.681
Spain;1940.539;13897.273;3946.592;1397.87
Sri Lanka;304.826;4071.718;714.295;86.566
Sudan;175.987;15531.858;6310.95;30.873
Suriname;9.289;54628.095;51241.914;3.774
Sweden;563.882;66196.093;83716.813;528.929
Switzerland;565.646;no data;no data;715.36
Syria;no data;3387.299;1933.381;no data
S?o Tomâ€š and PrË‡ncipe;0.753;55078.21;24827.898;0.43
Taiwan Province of China;1300.212;3589.168;877.34;586.104
Tajikistan;33.351;3402.385;1104.786;8.152
Tanzania;191.631;20364.545;7791.952;62.224
Thailand;1383.022;5254.116;2262.842;529.177
Timor-Leste;6.823;1825.808;671.4;2.938
Togo;14.962;6485.883;4862.273;5.502
Tonga;0.65;32715.237;16365.643;0.488
Trinidad and Tobago;45.193;12661.262;3287.085;22.607
Tunisia;149.19;28264.268;8957.894;38.732
Turkey;2346.576;20410.693;7816.021;743.708
Turkmenistan;121.885;4276.879;3834.829;46.674
Tuvalu;0.047;2630.54;770.062;0.042
Uganda;104.756;9774.642;3592.173;30.666
Ukraine;409.257;69434.762;37749.876;150.401
United Arab Emirates;746.35;46826.969;41030.232;405.771
United Kingdom;3131.199;65111.596;65111.596;2743.586
United States;21439.453;23580.531;17029.251;21439.453
Uruguay;82.969;8999.594;1831.565;59.918
Uzbekistan;297.222;2956.564;3260.221;60.49
Vanuatu;0.862;no data;2547.761;0.951
Venezuela;no data;8065.696;2739.821;70.14
Vietnam;770.227;2280.383;943.343;261.637
Yemen;72.171;4148.028;1307.029;29.855
Zambia;75.996;2701.968;859.953;23.946
Zimbabwe;40.274;5593.577;1877.989;12.818
