Country;Year;Series;Value
Afghanistan;2005;Population mid-year estimates (millions);25.6543
Afghanistan;2005;Population mid-year estimates for males (millions);13.2397
Afghanistan;2005;Population mid-year estimates for females (millions);12.4146
Afghanistan;2005;Sex ratio (males per 100 females);106.6462
Afghanistan;2005;Population aged 0 to 14 years old (percentage);47.8596
Afghanistan;2005;Population aged 60+ years old (percentage);3.6579
Afghanistan;2005;Population density;39.2952
Afghanistan;2010;Population mid-year estimates (millions);29.1855
Afghanistan;2010;Population mid-year estimates for males (millions);14.9358
Afghanistan;2010;Population mid-year estimates for females (millions);14.2498
Afghanistan;2010;Sex ratio (males per 100 females);104.8141
Afghanistan;2010;Population aged 0 to 14 years old (percentage);48.1781
Afghanistan;2010;Population aged 60+ years old (percentage);3.8740
Afghanistan;2010;Population density;44.7041
Afghanistan;2017;Population mid-year estimates (millions);36.2961
Afghanistan;2017;Population mid-year estimates for males (millions);18.6520
Afghanistan;2017;Population mid-year estimates for females (millions);17.6441
Afghanistan;2017;Sex ratio (males per 100 females);105.7122
Afghanistan;2017;Population aged 0 to 14 years old (percentage);43.6825
Afghanistan;2017;Population aged 60+ years old (percentage);4.0661
Afghanistan;2017;Population density;55.5956
Afghanistan;2017;Surface area (thousand km2);652.8640
Afghanistan;2019;Population mid-year estimates (millions);38.0418
Afghanistan;2019;Population mid-year estimates for males (millions);19.5297
Afghanistan;2019;Population mid-year estimates for females (millions);18.5120
Afghanistan;2019;Sex ratio (males per 100 females);105.4975
Afghanistan;2019;Population aged 0 to 14 years old (percentage);42.4723
Afghanistan;2019;Population aged 60+ years old (percentage);4.1655
Afghanistan;2019;Population density;58.2694
Albania;2005;Population mid-year estimates (millions);3.0868
Albania;2005;Population mid-year estimates for males (millions);1.5520
Albania;2005;Population mid-year estimates for females (millions);1.5348
Albania;2005;Sex ratio (males per 100 females);101.1167
Albania;2005;Population aged 0 to 14 years old (percentage);26.5009
Albania;2005;Population aged 60+ years old (percentage);12.2865
Albania;2005;Population density;112.6573
Albania;2010;Population mid-year estimates (millions);2.9480
Albania;2010;Population mid-year estimates for males (millions);1.4851
Albania;2010;Population mid-year estimates for females (millions);1.4630
Albania;2010;Sex ratio (males per 100 females);101.5111
Albania;2010;Population aged 0 to 14 years old (percentage);22.4551
Albania;2010;Population aged 60+ years old (percentage);14.9649
Albania;2010;Population density;107.5921
Albania;2017;Population mid-year estimates (millions);2.8842
Albania;2017;Population mid-year estimates for males (millions);1.4696
Albania;2017;Population mid-year estimates for females (millions);1.4146
Albania;2017;Sex ratio (males per 100 females);103.8886
Albania;2017;Population aged 0 to 14 years old (percentage);18.0283
Albania;2017;Population aged 60+ years old (percentage);19.0889
Albania;2017;Population density;105.2616
Albania;2017;Surface area (thousand km2);28.7480
Albania;2019;Population mid-year estimates (millions);2.8809
Albania;2019;Population mid-year estimates for males (millions);1.4668
Albania;2019;Population mid-year estimates for females (millions);1.4141
Albania;2019;Sex ratio (males per 100 females);103.7236
Albania;2019;Population aged 0 to 14 years old (percentage);17.3996
Albania;2019;Population aged 60+ years old (percentage);20.4779
Albania;2019;Population density;105.1430
Algeria;2005;Population mid-year estimates (millions);33.1497
Algeria;2005;Population mid-year estimates for males (millions);16.7660
Algeria;2005;Population mid-year estimates for females (millions);16.3837
Algeria;2005;Sex ratio (males per 100 females);102.3336
Algeria;2005;Population aged 0 to 14 years old (percentage);29.1927
Algeria;2005;Population aged 60+ years old (percentage);7.0221
Algeria;2005;Population density;13.9183
Algeria;2010;Population mid-year estimates (millions);35.9775
Algeria;2010;Population mid-year estimates for males (millions);18.1614
Algeria;2010;Population mid-year estimates for females (millions);17.8161
Algeria;2010;Sex ratio (males per 100 females);101.9380
Algeria;2010;Population aged 0 to 14 years old (percentage);27.2828
Algeria;2010;Population aged 60+ years old (percentage);7.7953
Algeria;2010;Population density;15.1055
Algeria;2017;Population mid-year estimates (millions);41.3892
Algeria;2017;Population mid-year estimates for males (millions);20.9068
Algeria;2017;Population mid-year estimates for females (millions);20.4824
Algeria;2017;Sex ratio (males per 100 females);102.0717
Algeria;2017;Population aged 0 to 14 years old (percentage);29.6396
Algeria;2017;Population aged 60+ years old (percentage);9.3050
Algeria;2017;Population density;17.3777
Algeria;2017;Surface area (thousand km2);2381.7410
Algeria;2019;Population mid-year estimates (millions);43.0531
Algeria;2019;Population mid-year estimates for males (millions);21.7497
Algeria;2019;Population mid-year estimates for females (millions);21.3034
Algeria;2019;Sex ratio (males per 100 females);102.0949
Algeria;2019;Population aged 0 to 14 years old (percentage);30.5504
Algeria;2019;Population aged 60+ years old (percentage);9.6817
Algeria;2019;Population density;18.0763
American Samoa;2000;Population mid-year estimates (millions);0.0575
American Samoa;2000;Sex ratio (males per 100 females);104.4136
American Samoa;2000;Population aged 0 to 14 years old (percentage);38.7705
American Samoa;2000;Population aged 60+ years old (percentage);5.4197
American Samoa;2000;Population density;287.6050
American Samoa;2005;Population mid-year estimates (millions);0.0591
American Samoa;2005;Population density;295.5900
American Samoa;2010;Population mid-year estimates (millions);0.0556
American Samoa;2010;Sex ratio (males per 100 females);102.9574
American Samoa;2010;Population aged 0 to 14 years old (percentage);34.9880
American Samoa;2010;Population aged 60+ years old (percentage);6.7490
American Samoa;2010;Population density;278.1850
American Samoa;2016;Population mid-year estimates (millions);0.0556
American Samoa;2016;Sex ratio (males per 100 females);103.6101
American Samoa;2016;Population aged 0 to 14 years old (percentage);33.3418
American Samoa;2016;Population aged 60+ years old (percentage);8.9579
American Samoa;2016;Population density;277.9950
American Samoa;2017;Population mid-year estimates (millions);0.0556
American Samoa;2017;Population density;278.2050
American Samoa;2017;Surface area (thousand km2);0.1990
American Samoa;2019;Population mid-year estimates (millions);0.0553
American Samoa;2019;Population density;276.5600
Andorra;2005;Population mid-year estimates (millions);0.0789
Andorra;2005;Sex ratio (males per 100 females);109.0459
Andorra;2005;Population aged 0 to 14 years old (percentage);15.0632
Andorra;2005;Population aged 60+ years old (percentage);16.0537
Andorra;2005;Population density;167.8021
Andorra;2010;Population mid-year estimates (millions);0.0844
Andorra;2010;Sex ratio (males per 100 females);108.4696
Andorra;2010;Population aged 0 to 14 years old (percentage);13.9777
Andorra;2010;Population aged 60+ years old (percentage);18.5940
Andorra;2010;Population density;179.6787
Andorra;2016;Population mid-year estimates (millions);0.0773
Andorra;2016;Sex ratio (males per 100 females);102.2981
Andorra;2016;Population aged 0 to 14 years old (percentage);14.4338
Andorra;2016;Population aged 60+ years old (percentage);19.0387
Andorra;2016;Population density;164.4277
Andorra;2017;Population mid-year estimates (millions);0.0770
Andorra;2017;Population density;163.7553
Andorra;2017;Surface area (thousand km2);0.4680
Andorra;2019;Population mid-year estimates (millions);0.0771
Andorra;2019;Population density;164.1319
Angola;2005;Population mid-year estimates (millions);19.4336
Angola;2005;Population mid-year estimates for males (millions);9.6395
Angola;2005;Population mid-year estimates for females (millions);9.7941
Angola;2005;Sex ratio (males per 100 females);98.4209
Angola;2005;Population aged 0 to 14 years old (percentage);46.8840
Angola;2005;Population aged 60+ years old (percentage);3.9544
Angola;2005;Population density;15.5880
Angola;2010;Population mid-year estimates (millions);23.3562
Angola;2010;Population mid-year estimates for males (millions);11.5493
Angola;2010;Population mid-year estimates for females (millions);11.8070
Angola;2010;Sex ratio (males per 100 females);97.8175
Angola;2010;Population aged 0 to 14 years old (percentage);47.0416
Angola;2010;Population aged 60+ years old (percentage);3.7607
Angola;2010;Population density;18.7345
Angola;2017;Population mid-year estimates (millions);29.8168
Angola;2017;Population mid-year estimates for males (millions);14.7493
Angola;2017;Population mid-year estimates for females (millions);15.0675
