Country;City;Rank
Austria;Vienna;1
Switzerland;Zürich;2
Germany;Munich;3
New Zealand;Auckland;4
Canada;Vancouver;5
Germany;Düsseldorf;6
Germany;Frankfurt;7
Switzerland;Geneva;8
Denmark;Copenhagen;9
Switzerland;Basel;10
Australia;Sydney;10
Netherlands;Amsterdam;12
Germany;Berlin;13
Switzerland;Bern;14
New Zealand;Wellington;15
Canada;Toronto;16
Australia;Melbourne;16
Luxembourg;Luxembourg;18
Canada;Ottawa;19
Germany;Hamburg;19
Australia;Perth;21
Canada;Montreal;21
Sweden;Stockholm;23
Germany;Nuremberg;23
Singapore;Singapore;25
Norway;Oslo;25
Belgium;Brussels;27
Germany;Stuttgart;28
Australia;Adelaide;29
United States;San Francisco;30
Australia;Canberra;30
Finland;Helsinki;32
Canada;Calgary;33
Ireland;Dublin;34
United States;Boston;35
United States;Honolulu;36
Australia;Brisbane;37
Portugal;Lisbon;38
France;Paris;39
France;Lyon;40
United Kingdom;London;41
Italy;Milan;42
Spain;Barcelona;43
United States;Seattle;44
United States;New York City;45
United Kingdom;Edinburgh;46
United States;Chicago;47
United States;Washington, D.C.;48
Spain;Madrid;49
United Kingdom;Glasgow;50
United Kingdom;Birmingham;50
United States;Philadelphia;50
Japan;Tokyo;50
Japan;Kobe;50
