"Country or Area","Year","Sex","Code of City","City","City type","Value","Value Footnotes"
"Åland Islands","2018","Both Sexes","014900","MARIEHAMN","City proper","11709","1"
"Austria","2018","Both Sexes","001110","Bregenz","City proper","29806",""
"Austria","2018","Both Sexes","001115","Eisenstadt","City proper","14476",""
"Austria","2018","Both Sexes","001120","Graz","City proper","286292",""
"Austria","2018","Both Sexes","001130","Innsbruck","City proper","132493",""
"Austria","2018","Both Sexes","001140","Klagenfurt","City proper","100369",""
"Austria","2018","Both Sexes","001150","Linz","City proper","204846",""
"Austria","2018","Both Sexes","001160","Salzburg","City proper","153377",""
"Austria","2018","Both Sexes","001165","Sankt Pölten","City proper","54649",""
"Austria","2018","Both Sexes","001170","WIEN","City proper","1888776",""
"Belarus","2018","Both Sexes","004760","Baranovichi","City proper","179166",""
"Belarus","2018","Both Sexes","004770","Bobruisk","City proper","217546",""
"Belarus","2018","Both Sexes","004780","Borisov","City proper","143051",""
"Belarus","2018","Both Sexes","004790","Brest","City proper","347576",""
"Belarus","2018","Both Sexes","004800","Gomel","Urban agglomeration","535693",""
"Belarus","2018","Both Sexes","004810","Grodno","City proper","370919",""
"Belarus","2018","Both Sexes","004820","Lida","City proper","101616",""
"Belarus","2018","Both Sexes","004830","MINSK","City proper","1982444",""
"Belarus","2018","Both Sexes","004840","Mogilev","City proper","381353",""
"Belarus","2018","Both Sexes","004850","Mozir","City proper","111733",""
"Belarus","2018","Both Sexes","004860","Novopolotsk","Urban agglomeration","107479",""
"Belarus","2018","Both Sexes","004870","Orsha","City proper","115052",""
"Belarus","2018","Both Sexes","004880","Pinsk","City proper","137961",""
"Belarus","2018","Both Sexes","004890","Soligorsk","City proper","106627",""
"Belarus","2018","Both Sexes","004900","Vitebsk","Urban agglomeration","377932",""
"Bulgaria","2018","Both Sexes","004570","Burgas","City proper","202694",""
"Bulgaria","2018","Both Sexes","004590","Pleven","City proper","97557",""
"Bulgaria","2018","Both Sexes","004600","Plovdiv","City proper","345213",""
"Bulgaria","2018","Both Sexes","004610","Ruse","City proper","144125",""
"Bulgaria","2018","Both Sexes","004640","SOFIA","City proper","1238438",""
"Bulgaria","2018","Both Sexes","004650","Stara Zagora","City proper","136307",""
"Bulgaria","2018","Both Sexes","004660","Varna","City proper","335854",""
"Canada","2018","Both Sexes","005085","Abbotsford","City proper","153745","2,3,4"
"Canada","2018","Both Sexes","005090","Abbotsford-Mission","Urban agglomeration","196007","2,3,4"
"Canada","2018","Both Sexes","005095","Ajax","City proper","126924","2,3,4"
"Canada","2018","Both Sexes","005100","Barrie","City proper","147685","2,3,4"
"Canada","2018","Both Sexes","005100","Barrie","Urban agglomeration","210800","2,3,4"
"Canada","2018","Both Sexes","005105","Belleville","City proper","53971","2,3,4"
"Canada","2018","Both Sexes","005105","Belleville","Urban agglomeration","109932","2,3,4"
"Canada","2018","Both Sexes","005110","Brampton","City proper","656977","2,3,4"
"Canada","2018","Both Sexes","005120","Brantford","City proper","104231","2,3,4"
"Canada","2018","Both Sexes","005120","Brantford","Urban agglomeration","147548","2,3,4"
"Canada","2018","Both Sexes","005130","Burlington","City proper","189204","2,3,4"
"Canada","2018","Both Sexes","005140","Burnaby","City proper","248071","2,3,4"
"Canada","2018","Both Sexes","005150","Calgary","City proper","1311833","2,3,4"
"Canada","2018","Both Sexes","005150","Calgary","Urban agglomeration","1486050","2,3,4"
"Canada","2018","Both Sexes","005160","Cambridge","City proper","136945","2,3,4"
"Canada","2018","Both Sexes","005170","Cape Breton","City proper","95163","2,3,4"
"Canada","2018","Both Sexes","005170","Cape Breton","Urban agglomeration","99805","2,3,4"
"Canada","2018","Both Sexes","005180","Chatham-Kent","City proper","105445","2,3,4"
"Canada","2018","Both Sexes","005180","Chatham-Kent","Urban agglomeration","105877","2,3,4"
"Canada","2018","Both Sexes","005185","Chilliwack","City proper","91346","2,3,4"
"Canada","2018","Both Sexes","005185","Chilliwack","Urban agglomeration","110600","2,3,4"
"Canada","2018","Both Sexes","005190","Coquitlam","City proper","149391","2,3,4"
"Canada","2018","Both Sexes","005195","Delta","City proper","108724","2,3,4"
"Canada","2018","Both Sexes","005210","Edmonton","City proper","1004947","2,3,4"
"Canada","2018","Both Sexes","005210","Edmonton","Urban agglomeration","1420916","2,3,4"
"Canada","2018","Both Sexes","005230","Gatineau","City proper","282596","2,3,4"
"Canada","2018","Both Sexes","005250","Greater Sudbury / Grand Sudbury","City proper","168141","2,3,4"
"Canada","2018","Both Sexes","005250","Greater Sudbury / Grand Sudbury","Urban agglomeration","171471","2,3,4"
"Canada","2018","Both Sexes","005260","Guelph","City proper","140683","2,3,4"
"Canada","2018","Both Sexes","005260","Guelph","Urban agglomeration","162612","2,3,4"
"Canada","2018","Both Sexes","005270","Halifax","City proper","430230","2,3,4"
"Canada","2018","Both Sexes","005270","Halifax","Urban agglomeration","430512","2,3,4"
"Canada","2018","Both Sexes","005280","Hamilton","City proper","567979","2,3,4"
"Canada","2018","Both Sexes","005280","Hamilton","Urban agglomeration","786641","2,3,4"
"Canada","2018","Both Sexes","005285","Kamloops","City proper","97842","2,3,4"
"Canada","2018","Both Sexes","005285","Kamloops","Urban agglomeration","112361","2,3,4"
"Canada","2018","Both Sexes","005290","Kelowna","City proper","138513","2,3,4"
"Canada","2018","Both Sexes","005290","Kelowna","Urban agglomeration","212311","2,3,4"
"Canada","2018","Both Sexes","005300","Kingston","City proper","132943","2,3,4"
"Canada","2018","Both Sexes","005300","Kingston","Urban agglomeration","173450","2,3,4"
"Canada","2018","Both Sexes","005305","Kitchener","City proper","254740","2,3,4"
"Canada","2018","Both Sexes","005310","Kitchener-Cambridge-Waterloo","Urban agglomeration","567740","2,3,4"
"Canada","2018","Both Sexes","005315","Langley","City proper","128487","2,3,4"
"Canada","2018","Both Sexes","005320","Laval","City proper","432858","2,3,4"
"Canada","2018","Both Sexes","005322","Lethbridge","City proper","98960","2,3,4"
"Canada","2018","Both Sexes","005322","Lethbridge","Urban agglomeration","124553","2,3,4"
"Canada","2018","Both Sexes","005325","Lévis V","City proper","146080","2,3,4"
"Canada","2018","Both Sexes","005330","London","City proper","414959","2,3,4"
"Canada","2018","Both Sexes","005330","London","Urban agglomeration","532984","2,3,4"
"Canada","2018","Both Sexes","005340","Longueuil","City proper","243921","2,3,4"
"Canada","2018","Both Sexes","005350","Markham","City proper","336445","2,3,4"
"Canada","2018","Both Sexes","005365","Milton","City proper","120558","2,3,4"
"Canada","2018","Both Sexes","005370","Mississauga","City proper","747651","2,3,4"
"Canada","2018","Both Sexes","005380","Moncton","City proper","75613","2,3,4"
"Canada","2018","Both Sexes","005380","Moncton","Urban agglomeration","152604","2,3,4"
"Canada","2018","Both Sexes","005390","Montréal","City proper","1784420","2,3,4"
