Country;Year;Series;Value
Afghanistan;2005;Employment by industry: Agriculture (%) Male and Female;71.7600
Afghanistan;2005;Employment by industry: Industry (%) Male and Female;6.5700
Afghanistan;2005;Employment by industry: Services (%) Male and Female;21.6700
Afghanistan;2005;Employment by industry: Agriculture (%) Male;70.2200
Afghanistan;2005;Employment by industry: Industry (%) Male;6.5400
Afghanistan;2005;Employment by industry: Services (%) Male;23.2500
Afghanistan;2005;Employment by industry: Agriculture (%) Female;81.4100
Afghanistan;2005;Employment by industry: Industry (%) Female;6.7600
Afghanistan;2005;Employment by industry: Services (%) Female;11.8300
Afghanistan;2010;Employment by industry: Agriculture (%) Male and Female;64.5000
Afghanistan;2010;Employment by industry: Industry (%) Male and Female;6.1100
Afghanistan;2010;Employment by industry: Services (%) Male and Female;29.3900
Afghanistan;2010;Employment by industry: Agriculture (%) Male;62.8100
Afghanistan;2010;Employment by industry: Industry (%) Male;6.2000
Afghanistan;2010;Employment by industry: Services (%) Male;30.9900
Afghanistan;2010;Employment by industry: Agriculture (%) Female;75.6300
Afghanistan;2010;Employment by industry: Industry (%) Female;5.5300
Afghanistan;2010;Employment by industry: Services (%) Female;18.8400
Afghanistan;2015;Employment by industry: Agriculture (%) Male and Female;61.1300
Afghanistan;2015;Employment by industry: Industry (%) Male and Female;6.7200
Afghanistan;2015;Employment by industry: Services (%) Male and Female;32.1500
Afghanistan;2015;Employment by industry: Agriculture (%) Male;59.0000
Afghanistan;2015;Employment by industry: Industry (%) Male;6.9300
Afghanistan;2015;Employment by industry: Services (%) Male;34.0800
Afghanistan;2015;Employment by industry: Agriculture (%) Female;72.4100
Afghanistan;2015;Employment by industry: Industry (%) Female;5.6600
Afghanistan;2015;Employment by industry: Services (%) Female;21.9300
Afghanistan;2019;Employment by industry: Agriculture (%) Male and Female;61.7200
Afghanistan;2019;Employment by industry: Industry (%) Male and Female;6.8200
Afghanistan;2019;Employment by industry: Services (%) Male and Female;31.4600
Afghanistan;2019;Employment by industry: Agriculture (%) Male;59.3400
Afghanistan;2019;Employment by industry: Industry (%) Male;7.1000
Afghanistan;2019;Employment by industry: Services (%) Male;33.5600
Afghanistan;2019;Employment by industry: Agriculture (%) Female;73.4800
Afghanistan;2019;Employment by industry: Industry (%) Female;5.4600
Afghanistan;2019;Employment by industry: Services (%) Female;21.0700
Albania;2005;Employment by industry: Agriculture (%) Male and Female;53.9600
Albania;2005;Employment by industry: Industry (%) Male and Female;19.8700
Albania;2005;Employment by industry: Services (%) Male and Female;26.1700
Albania;2005;Employment by industry: Agriculture (%) Male;44.7000
Albania;2005;Employment by industry: Industry (%) Male;25.1300
Albania;2005;Employment by industry: Services (%) Male;30.1600
Albania;2005;Employment by industry: Agriculture (%) Female;67.4500
Albania;2005;Employment by industry: Industry (%) Female;12.2000
Albania;2005;Employment by industry: Services (%) Female;20.3600
Albania;2010;Employment by industry: Agriculture (%) Male and Female;43.9000
Albania;2010;Employment by industry: Industry (%) Male and Female;19.3800
Albania;2010;Employment by industry: Services (%) Male and Female;36.7200
Albania;2010;Employment by industry: Agriculture (%) Male;36.3000
Albania;2010;Employment by industry: Industry (%) Male;25.6600
Albania;2010;Employment by industry: Services (%) Male;38.0400
Albania;2010;Employment by industry: Agriculture (%) Female;54.1100
Albania;2010;Employment by industry: Industry (%) Female;10.9300
Albania;2010;Employment by industry: Services (%) Female;34.9600
Albania;2015;Employment by industry: Agriculture (%) Male and Female;41.3700
Albania;2015;Employment by industry: Industry (%) Male and Female;18.6100
Albania;2015;Employment by industry: Services (%) Male and Female;40.0200
Albania;2015;Employment by industry: Agriculture (%) Male;36.7000
Albania;2015;Employment by industry: Industry (%) Male;22.0500
Albania;2015;Employment by industry: Services (%) Male;41.2600
Albania;2015;Employment by industry: Agriculture (%) Female;47.8000
Albania;2015;Employment by industry: Industry (%) Female;13.8800
Albania;2015;Employment by industry: Services (%) Female;38.3200
Albania;2019;Employment by industry: Agriculture (%) Male and Female;37.7700
Albania;2019;Employment by industry: Industry (%) Male and Female;18.8000
Albania;2019;Employment by industry: Services (%) Male and Female;43.4400
Albania;2019;Employment by industry: Agriculture (%) Male;32.8000
Albania;2019;Employment by industry: Industry (%) Male;22.4800
Albania;2019;Employment by industry: Services (%) Male;44.7200
Albania;2019;Employment by industry: Agriculture (%) Female;44.6100
Albania;2019;Employment by industry: Industry (%) Female;13.7300
