Country;Year;Series;Capital city;Value
Afghanistan;2005;Urban population(percent);;22.7
Afghanistan;2005;Urban population(percent growth rate per annum);;5.0
Afghanistan;2005;Rural population(percent growth rate per annum);;4.3
Afghanistan;2005;Capital city population(thousands) ;Kabul;2905
Afghanistan;2005;Capital city population(as a percentage of total population);Kabul;11.6
Afghanistan;2005;Capital city population(as a percentage of total urban population);Kabul;51.0
Afghanistan;2010;Urban population(percent);;23.7
Afghanistan;2010;Urban population(percent growth rate per annum);;3.7
Afghanistan;2010;Rural population(percent growth rate per annum);;2.5
Afghanistan;2010;Capital city population(thousands) ;Kabul;3289
Afghanistan;2010;Capital city population(as a percentage of total population);Kabul;11.4
Afghanistan;2010;Capital city population(as a percentage of total urban population);Kabul;48.1
Afghanistan;2015;Urban population(percent);;24.8
Afghanistan;2015;Urban population(percent growth rate per annum);;4.0
Afghanistan;2015;Rural population(percent growth rate per annum);;2.9
Afghanistan;2015;Capital city population(thousands) ;Kabul;3724
Afghanistan;2015;Capital city population(as a percentage of total population);Kabul;11.0
Afghanistan;2015;Capital city population(as a percentage of total urban population);Kabul;44.5
Afghanistan;2018;Urban population(percent);;25.5
Afghanistan;2018;Capital city population(thousands) ;Kabul;4012
Albania;2005;Urban population(percent);;46.7
Albania;2005;Urban population(percent growth rate per annum);;2.0
Albania;2005;Rural population(percent growth rate per annum);;-2.1
Albania;2005;Capital city population(thousands) ;Tirana;372
Albania;2005;Capital city population(as a percentage of total population);Tirana;12.1
Albania;2005;Capital city population(as a percentage of total urban population);Tirana;25.8
Albania;2010;Urban population(percent);;52.2
Albania;2010;Urban population(percent growth rate per annum);;1.3
Albania;2010;Rural population(percent growth rate per annum);;-3.1
Albania;2010;Capital city population(thousands) ;Tirana;409
Albania;2010;Capital city population(as a percentage of total population);Tirana;13.9
Albania;2010;Capital city population(as a percentage of total urban population);Tirana;26.6
Albania;2015;Urban population(percent);;57.4
Albania;2015;Urban population(percent growth rate per annum);;1.8
Albania;2015;Rural population(percent growth rate per annum);;-2.5
Albania;2015;Capital city population(thousands) ;Tirana;449
Albania;2015;Capital city population(as a percentage of total population);Tirana;15.4
Albania;2015;Capital city population(as a percentage of total urban population);Tirana;26.8
Albania;2018;Urban population(percent);;60.3
Albania;2018;Capital city population(thousands) ;Tirana;476
Algeria;2005;Urban population(percent);;63.8
Algeria;2005;Urban population(percent growth rate per annum);;2.6
Algeria;2005;Rural population(percent growth rate per annum);;-0.7
Algeria;2005;Capital city population(thousands) ;Algiers;2282
Algeria;2005;Capital city population(as a percentage of total population);Algiers;6.9
Algeria;2005;Capital city population(as a percentage of total urban population);Algiers;10.7
Algeria;2010;Urban population(percent);;67.5
Algeria;2010;Urban population(percent growth rate per annum);;2.8
Algeria;2010;Rural population(percent growth rate per annum);;-0.5
Algeria;2010;Capital city population(thousands) ;Algiers;2432
Algeria;2010;Capital city population(as a percentage of total population);Algiers;6.7
Algeria;2010;Capital city population(as a percentage of total urban population);Algiers;10.0
Algeria;2015;Urban population(percent);;70.8
Algeria;2015;Urban population(percent growth rate per annum);;2.9
Algeria;2015;Rural population(percent growth rate per annum);;-0.2
Algeria;2015;Capital city population(thousands) ;Algiers;2592
Algeria;2015;Capital city population(as a percentage of total population);Algiers;6.5
Algeria;2015;Capital city population(as a percentage of total urban population);Algiers;9.2
Algeria;2018;Urban population(percent);;72.6
Algeria;2018;Capital city population(thousands) ;Algiers;2694
American Samoa;2005;Urban population(percent);;88.1
American Samoa;2005;Urban population(percent growth rate per annum);;0.4
American Samoa;2005;Rural population(percent growth rate per annum);;1.4
American Samoa;2010;Urban population(percent);;87.6
American Samoa;2010;Urban population(percent growth rate per annum);;-1.3
American Samoa;2010;Rural population(percent growth rate per annum);;-0.4
American Samoa;2015;Urban population(percent);;87.2
American Samoa;2015;Urban population(percent growth rate per annum);;-0.1
American Samoa;2015;Rural population(percent growth rate per annum);;0.5
American Samoa;2018;Urban population(percent);;87.2
American Samoa;2018;Capital city population(thousands) ;Pago Pago;49
Andorra;2005;Urban population(percent);;90.3
Andorra;2005;Urban population(percent growth rate per annum);;3.3
Andorra;2005;Rural population(percent growth rate per annum);;8.6
Andorra;2010;Urban population(percent);;88.8
Andorra;2010;Urban population(percent growth rate per annum);;1.0
Andorra;2010;Rural population(percent growth rate per annum);;4.2
Andorra;2015;Urban population(percent);;88.3
Andorra;2015;Urban population(percent growth rate per annum);;-1.7
Andorra;2015;Rural population(percent growth rate per annum);;-0.8
Andorra;2018;Urban population(percent);;88.1
Andorra;2018;Capital city population(thousands) ;Andorra la Vella;23
Angola;2005;Urban population(percent);;56.0
Angola;2005;Urban population(percent growth rate per annum);;5.7
Angola;2005;Rural population(percent growth rate per annum);;0.9
Angola;2005;Capital city population(thousands) ;Luanda;3872
Angola;2005;Capital city population(as a percentage of total population);Luanda;19.8
Angola;2005;Capital city population(as a percentage of total urban population);Luanda;35.4
Angola;2010;Urban population(percent);;59.8
Angola;2010;Urban population(percent growth rate per annum);;4.9
